bond3m,bond6m,bond1y,bond2y,bond3y,bond5y,bond10y
1.298,1.3320000000000001,1.468,1.6440000000000001,1.7149999999999999,1.917,2.23
1.298,1.3320000000000001,1.466,1.659,1.7370000000000001,1.9449999999999998,2.2669999999999999
1.292,1.327,1.4650000000000001,1.67,1.7450000000000001,1.96,2.2770000000000001
1.286,1.319,1.464,1.6720000000000002,1.752,1.9750000000000001,2.282
1.282,1.3160000000000001,1.472,1.69,1.7770000000000001,1.9969999999999999,2.3170000000000002
1.278,1.31,1.468,1.665,1.7530000000000001,1.962,2.282
1.2749999999999999,1.306,1.468,1.675,1.762,1.962,2.2770000000000001
1.27,1.3009999999999999,1.466,1.67,1.762,1.96,2.2749999999999999
1.268,1.298,1.462,1.657,1.7469999999999999,1.9370000000000001,2.242
1.268,1.298,1.462,1.655,1.7450000000000001,1.94,2.2469999999999999
1.268,1.298,1.462,1.659,1.752,1.962,2.2800000000000002
1.2629999999999999,1.294,1.4590000000000001,1.659,1.7469999999999999,1.9449999999999998,2.2599999999999998
1.2629999999999999,1.2929999999999999,1.4590000000000001,1.6600000000000001,1.7469999999999999,1.9449999999999998,2.2570000000000001
1.2629999999999999,1.2929999999999999,1.4590000000000001,1.65,1.7370000000000001,1.9319999999999999,2.2349999999999999
1.2629999999999999,1.2929999999999999,1.4590000000000001,1.6419999999999999,1.722,1.917,2.2200000000000002
1.2629999999999999,1.2929999999999999,1.4570000000000001,1.6400000000000001,1.7170000000000001,1.9119999999999999,2.2200000000000002
1.2629999999999999,1.2929999999999999,1.4339999999999999,1.6259999999999999,1.7069999999999999,1.905,2.21
1.2629999999999999,1.2929999999999999,1.4279999999999999,1.6320000000000001,1.7250000000000001,1.927,2.2400000000000002
1.2589999999999999,1.288,1.419,1.617,1.712,1.907,2.2170000000000001
1.254,1.2829999999999999,1.4039999999999999,1.615,1.7149999999999999,1.92,2.2250000000000001
1.254,1.28,1.399,1.615,1.72,1.925,2.2269999999999999
